news,label
Environment: Government wins major award,Fake
Economy: Government launches new smartphone,Fake
Crime: Government announces new policy,Fake
Health: Government suffers data breach,Real
Economy: Government suffers data breach,Real
Environment: Government introduces new law,Fake
Science: Government declares emergency,Real
Politics: Government declares emergency,Real
Science: Government opens new school,Real
Entertainment: Government discovers new planet,Fake
Politics: Government faces corruption charges,Real
Technology: Government introduces new law,Fake
Education: Government suffers data breach,Fake
Politics: Government announces new policy,Fake
Sports: Government discovers new planet,Real
Education: Government discovers new planet,Real
Economy: Government reports record profits,Real
Politics: Government launches new smartphone,Fake
Science: Government wins major award,Fake
Politics: Government wins major award,Real
Education: Government launches new smartphone,Real
Crime: Government discovers new planet,Real
Sports: Government launches new smartphone,Real
Technology: Government reports record profits,Real
Economy: Government suffers data breach,Real
Crime: Government announces new policy,Fake
Entertainment: Government launches new smartphone,Real
Education: Government declares emergency,Fake
Science: Government opens new school,Real
Crime: Government announces new policy,Fake
Science: Government discovers new planet,Real
Economy: Government announces new policy,Fake
Environment: Government announces new policy,Fake
Politics: Government launches new smartphone,Fake
Science: Government suffers data breach,Fake
Entertainment: Government faces corruption charges,Real
Entertainment: Government declares emergency,Real
Sports: Government launches new smartphone,Fake
Health: Government introduces new law,Real
Health: Government declares emergency,Fake
Health: Government launches new smartphone,Real
Health: Government introduces new law,Real
Sports: Government faces corruption charges,Fake
Environment: Government launches new smartphone,Real
Sports: Government faces corruption charges,Fake
Science: Government suffers data breach,Fake
Health: Government declares emergency,Real
Technology: Government reports record profits,Fake
Education: Government reports record profits,Fake
Politics: Government reports record profits,Fake
Environment: Government opens new school,Fake
Economy: Government discovers new planet,Real
Sports: Government faces corruption charges,Real
Health: Government discovers new planet,Real
Sports: Government declares emergency,Fake
Health: Government declares emergency,Fake
Science: Government announces new policy,Fake
Education: Government launches new smartphone,Real
Health: Government introduces new law,Real
Health: Government discovers new planet,Fake
Sports: Government announces new policy,Fake
Politics: Government suffers data breach,Fake
Politics: Government announces new policy,Fake
Sports: Government suffers data breach,Real
Politics: Government faces corruption charges,Real
Technology: Government suffers data breach,Fake
Technology: Government suffers data breach,Real
Education: Government declares emergency,Fake
Economy: Government opens new school,Fake
Politics: Government discovers new planet,Real
Politics: Government discovers new planet,Fake
Politics: Government wins major award,Real
Sports: Government reports record profits,Fake
Entertainment: Government announces new policy,Fake
Environment: Government discovers new planet,Fake
Politics: Government reports record profits,Real
Education: Government introduces new law,Fake
Sports: Government reports record profits,Fake
Politics: Government declares emergency,Real
Politics: Government introduces new law,Fake
Sports: Government launches new smartphone,Fake
Science: Government opens new school,Fake
Science: Government suffers data breach,Real
Economy: Government wins major award,Real
Technology: Government faces corruption charges,Fake
Crime: Government announces new policy,Real
Crime: Government faces corruption charges,Real
Crime: Government declares emergency,Fake
Health: Government discovers new planet,Fake
Education: Government wins major award,Real
Science: Government declares emergency,Fake
Sports: Government suffers data breach,Real
Sports: Government introduces new law,Real
Technology: Government wins major award,Fake
Economy: Government discovers new planet,Real
Education: Government faces corruption charges,Fake
Entertainment: Government declares emergency,Fake
Crime: Government discovers new planet,Fake
Science: Government introduces new law,Real
Education: Government opens new school,Fake
Environment: Government suffers data breach,Real
Environment: Government suffers data breach,Real
Technology: Government launches new smartphone,Fake
Science: Government suffers data breach,Fake
Science: Government discovers new planet,Fake
Technology: Government introduces new law,Real
Politics: Government suffers data breach,Real
Health: Government suffers data breach,Real
Science: Government opens new school,Fake
Crime: Government declares emergency,Fake
Economy: Government declares emergency,Fake
Environment: Government announces new policy,Real
Science: Government launches new smartphone,Real
Technology: Government wins major award,Real
Entertainment: Government launches new smartphone,Real
Economy: Government discovers new planet,Fake
Technology: Government announces new policy,Fake
Economy: Government faces corruption charges,Fake
Sports: Government opens new school,Real
Entertainment: Government introduces new law,Real
Economy: Government declares emergency,Fake
Science: Government suffers data breach,Fake
Politics: Government suffers data breach,Real
Economy: Government opens new school,Real
Technology: Government declares emergency,Fake
Health: Government launches new smartphone,Real
Environment: Government opens new school,Real
Politics: Government opens new school,Fake
Science: Government wins major award,Real
Environment: Government launches new smartphone,Fake
Sports: Government wins major award,Real
Technology: Government wins major award,Fake
Technology: Government wins major award,Fake
Crime: Government discovers new planet,Fake
Sports: Government faces corruption charges,Real
Sports: Government wins major award,Fake
Health: Government faces corruption charges,Fake
Crime: Government opens new school,Fake
Environment: Government reports record profits,Real
Technology: Government faces corruption charges,Real
Science: Government announces new policy,Fake
Economy: Government faces corruption charges,Fake
Health: Government discovers new planet,Real
Entertainment: Government introduces new law,Fake
Health: Government suffers data breach,Real
Science: Government faces corruption charges,Fake
Science: Government declares emergency,Real
Health: Government reports record profits,Fake
Health: Government announces new policy,Fake
Sports: Government wins major award,Real
Politics: Government discovers new planet,Real
Education: Government reports record profits,Real
Health: Government faces corruption charges,Real
Science: Government launches new smartphone,Fake
Technology: Government declares emergency,Fake
Entertainment: Government declares emergency,Fake
Science: Government suffers data breach,Fake
Entertainment: Government announces new policy,Fake
Technology: Government suffers data breach,Fake
Science: Government announces new policy,Fake
Science: Government opens new school,Real
Education: Government faces corruption charges,Real
Science: Government suffers data breach,Fake
Politics: Government declares emergency,Fake
Education: Government declares emergency,Real
Entertainment: Government introduces new law,Real
Entertainment: Government introduces new law,Fake
Politics: Government reports record profits,Real
Entertainment: Government faces corruption charges,Real
Environment: Government faces corruption charges,Fake
Sports: Government wins major award,Fake
Politics: Government suffers data breach,Fake
Environment: Government launches new smartphone,Real
Sports: Government opens new school,Real
Entertainment: Government faces corruption charges,Fake
Sports: Government declares emergency,Fake
Entertainment: Government launches new smartphone,Fake
Education: Government reports record profits,Real
Politics: Government suffers data breach,Fake
Science: Government reports record profits,Real
Science: Government faces corruption charges,Real
Education: Government reports record profits,Real
